UniqueMouse,Cohort,InjuredGroup,Treatment,HourOfDay,CumulativeHour,PercentSleep
C1-01,C1,Sham,vehicle,10,11,57.17
C1-01,C1,Sham,vehicle,11,12,66.28
C1-01,C1,Sham,vehicle,12,13,16.67
C1-01,C1,Sham,vehicle,13,14,79.44
C1-01,C1,Sham,vehicle,14,15,53.94
C1-01,C1,Sham,vehicle,15,16,60.67
C1-01,C1,Sham,vehicle,16,17,93.61
C1-01,C1,Sham,vehicle,17,18,45.67
C1-01,C1,Sham,vehicle,18,19,39.06
C1-01,C1,Sham,vehicle,19,20,40.0
C1-01,C1,Sham,vehicle,20,21,28.22
C1-01,C1,Sham,vehicle,21,22,6.28
C1-01,C1,Sham,vehicle,22,23,0.39
C1-01,C1,Sham,vehicle,23,24,12.67
C1-01,C1,Sham,vehicle,0,25,12.83
C1-01,C1,Sham,vehicle,1,26,21.0
C1-01,C1,Sham,vehicle,2,27,23.94
C1-01,C1,Sham,vehicle,3,28,28.94
C1-01,C1,Sham,vehicle,4,29,47.89
C1-01,C1,Sham,vehicle,5,30,15.22
C1-01,C1,Sham,vehicle,6,31,79.78
C1-01,C1,Sham,vehicle,7,32,21.89
C1-01,C1,Sham,vehicle,8,33,73.72
C1-01,C1,Sham,vehicle,9,34,59.06
C1-01,C1,Sham,vehicle,10,35,73.89
C1-01,C1,Sham,vehicle,11,36,32.89
C1-01,C1,Sham,vehicle,12,37,73.89
C1-01,C1,Sham,vehicle,13,38,21.94
C1-01,C1,Sham,vehicle,14,39,89.89
C1-01,C1,Sham,vehicle,15,40,63.0
C1-01,C1,Sham,vehicle,16,41,53.22
C1-01,C1,Sham,vehicle,17,42,59.78
C1-01,C1,Sham,vehicle,18,43,20.5
C1-01,C1,Sham,vehicle,19,44,32.28
C1-01,C1,Sham,vehicle,20,45,1.94
C1-01,C1,Sham,vehicle,21,46,2.06
C1-01,C1,Sham,vehicle,22,47,33.67
C1-01,C1,Sham,vehicle,23,48,32.78
C1-01,C1,Sham,vehicle,0,49,2.44
C1-01,C1,Sham,vehicle,1,50,19.17
C1-01,C1,Sham,vehicle,2,51,20.83
C1-01,C1,Sham,vehicle,3,52,45.06
C1-01,C1,Sham,vehicle,4,53,33.67
C1-01,C1,Sham,vehicle,5,54,31.83
C1-01,C1,Sham,vehicle,6,55,81.33
C1-01,C1,Sham,vehicle,7,56,50.56
C1-01,C1,Sham,vehicle,8,57,76.94
C1-01,C1,Sham,vehicle,9,58,32.61
C1-01,C1,Sham,vehicle,10,59,67.33
C1-01,C1,Sham,vehicle,11,60,60.94
C1-01,C1,Sham,vehicle,12,61,64.72
C1-01,C1,Sham,vehicle,13,62,56.06
C1-01,C1,Sham,vehicle,14,63,64.67
C1-01,C1,Sham,vehicle,15,64,84.28
C1-01,C1,Sham,vehicle,16,65,20.89
C1-01,C1,Sham,vehicle,17,66,70.67
C1-01,C1,Sham,vehicle,18,67,13.39
C1-01,C1,Sham,vehicle,19,68,1.5
C1-01,C1,Sham,vehicle,20,69,23.0
C1-01,C1,Sham,vehicle,21,70,0.67
C1-01,C1,Sham,vehicle,22,71,13.0
C1-01,C1,Sham,vehicle,23,72,38.44
C1-01,C1,Sham,vehicle,0,73,37.39
C1-01,C1,Sham,vehicle,1,74,37.06
C1-01,C1,Sham,vehicle,2,75,28.5
C1-01,C1,Sham,vehicle,3,76,27.83
C1-01,C1,Sham,vehicle,4,77,37.94
C1-01,C1,Sham,vehicle,5,78,27.33
C1-01,C1,Sham,vehicle,6,79,74.11
C1-01,C1,Sham,vehicle,7,80,36.89
C1-07,C1,mFPI,vehicle,10,11,89.44
C1-07,C1,mFPI,vehicle,11,12,41.89
C1-07,C1,mFPI,vehicle,12,13,73.17
C1-07,C1,mFPI,vehicle,13,14,90.44
C1-07,C1,mFPI,vehicle,14,15,59.17
C1-07,C1,mFPI,vehicle,15,16,84.33
C1-07,C1,mFPI,vehicle,16,17,74.72
C1-07,C1,mFPI,vehicle,17,18,29.72
C1-07,C1,mFPI,vehicle,18,19,74.56
C1-07,C1,mFPI,vehicle,19,20,37.61
C1-07,C1,mFPI,vehicle,20,21,2.61
C1-07,C1,mFPI,vehicle,21,22,1.78
C1-07,C1,mFPI,vehicle,22,23,1.33
C1-07,C1,mFPI,vehicle,23,24,2.61
C1-07,C1,mFPI,vehicle,0,25,48.61
C1-07,C1,mFPI,vehicle,1,26,2.22
C1-07,C1,mFPI,vehicle,2,27,3.28
C1-07,C1,mFPI,vehicle,3,28,19.22
C1-07,C1,mFPI,vehicle,4,29,39.56
C1-07,C1,mFPI,vehicle,5,30,5.44
C1-07,C1,mFPI,vehicle,6,31,88.17
C1-07,C1,mFPI,vehicle,7,32,86.28
C1-07,C1,mFPI,vehicle,8,33,24.61
C1-07,C1,mFPI,vehicle,9,34,76.5
C1-07,C1,mFPI,vehicle,10,35,39.89
C1-07,C1,mFPI,vehicle,11,36,66.11
C1-07,C1,mFPI,vehicle,12,37,90.28
C1-07,C1,mFPI,vehicle,13,38,26.06
C1-07,C1,mFPI,vehicle,14,39,57.61
C1-07,C1,mFPI,vehicle,15,40,81.17
C1-07,C1,mFPI,vehicle,16,41,53.67
C1-07,C1,mFPI,vehicle,17,42,64.78
C1-07,C1,mFPI,vehicle,18,43,65.11
C1-07,C1,mFPI,vehicle,19,44,18.61
C1-07,C1,mFPI,vehicle,20,45,15.11
C1-07,C1,mFPI,vehicle,21,46,0.5
C1-07,C1,mFPI,vehicle,22,47,9.78
C1-07,C1,mFPI,vehicle,23,48,41.72
C1-07,C1,mFPI,vehicle,0,49,28.56
C1-07,C1,mFPI,vehicle,1,50,2.17
C1-07,C1,mFPI,vehicle,2,51,2.39
C1-07,C1,mFPI,vehicle,3,52,0.61
C1-07,C1,mFPI,vehicle,4,53,2.22
C1-07,C1,mFPI,vehicle,5,54,65.94
C1-07,C1,mFPI,vehicle,6,55,64.06
C1-07,C1,mFPI,vehicle,7,56,57.28
C1-07,C1,mFPI,vehicle,8,57,57.72
C1-07,C1,mFPI,vehicle,9,58,91.89
C1-07,C1,mFPI,vehicle,10,59,26.28
C1-07,C1,mFPI,vehicle,11,60,93.22
C1-07,C1,mFPI,vehicle,12,61,72.39
C1-07,C1,mFPI,vehicle,13,62,47.44
C1-07,C1,mFPI,vehicle,14,63,82.17
C1-07,C1,mFPI,vehicle,15,64,68.0
C1-07,C1,mFPI,vehicle,16,65,42.06
C1-07,C1,mFPI,vehicle,17,66,75.56
C1-07,C1,mFPI,vehicle,18,67,48.17
C1-07,C1,mFPI,vehicle,19,68,15.5
C1-07,C1,mFPI,vehicle,20,69,42.28
C1-07,C1,mFPI,vehicle,21,70,27.78
C1-07,C1,mFPI,vehicle,22,71,0.89
C1-07,C1,mFPI,vehicle,23,72,2.11
C1-07,C1,mFPI,vehicle,0,73,29.56
C1-07,C1,mFPI,vehicle,1,74,36.83
C1-07,C1,mFPI,vehicle,2,75,2.39
C1-07,C1,mFPI,vehicle,3,76,1.28
C1-07,C1,mFPI,vehicle,4,77,6.06
C1-07,C1,mFPI,vehicle,5,78,20.44
C1-07,C1,mFPI,vehicle,6,79,72.28
C1-07,C1,mFPI,vehicle,7,80,78.44
C1-14,C1,Sham,vehicle,10,11,36.5
C1-14,C1,Sham,vehicle,11,12,76.5
C1-14,C1,Sham,vehicle,12,13,83.5
C1-14,C1,Sham,vehicle,13,14,48.39
C1-14,C1,Sham,vehicle,14,15,90.56
C1-14,C1,Sham,vehicle,15,16,75.61
C1-14,C1,Sham,vehicle,16,17,45.61
C1-14,C1,Sham,vehicle,17,18,92.39
C1-14,C1,Sham,vehicle,18,19,45.28
C1-14,C1,Sham,vehicle,19,20,38.72
C1-14,C1,Sham,vehicle,20,21,2.33
C1-14,C1,Sham,vehicle,21,22,6.44
C1-14,C1,Sham,vehicle,22,23,1.0
C1-14,C1,Sham,vehicle,23,24,39.22
C1-14,C1,Sham,vehicle,0,25,23.44
C1-14,C1,Sham,vehicle,1,26,74.11
C1-14,C1,Sham,vehicle,2,27,22.56
C1-14,C1,Sham,vehicle,3,28,53.0
C1-14,C1,Sham,vehicle,4,29,25.22
C1-14,C1,Sham,vehicle,5,30,80.78
C1-14,C1,Sham,vehicle,6,31,54.72
C1-14,C1,Sham,vehicle,7,32,94.0
C1-14,C1,Sham,vehicle,8,33,52.11
C1-14,C1,Sham,vehicle,9,34,89.28
C1-14,C1,Sham,vehicle,10,35,81.0
C1-14,C1,Sham,vehicle,11,36,39.11
